RGB,9,8,2,0,32,32,FALSE,TRUE,TRUE,1,576,0,96,672
RGB,9,8,2,1,32,32,FALSE,TRUE,TRUE,1,576,0,96,672
RGB,9,8,2,ALL,16,16,FALSE,TRUE,TRUE,1,1728,0,48,1776
RGB,9,8,4,0,16,32,TRUE,TRUE,TRUE,1,576,768,96,1440
RGB,9,16,2,0,16,32,TRUE,TRUE,TRUE,1,144,768,96,1008
RGB,9,16,2,0,16,32,FALSE,TRUE,TRUE,1,144,0,96,240
RGB,9,16,2,1,16,32,FALSE,TRUE,TRUE,1,144,0,96,240
RGB,9,16,2,1,32,16,FALSE,TRUE,TRUE,1,144,0,48,192
RGB,9,16,2,1,32,32,FALSE,TRUE,TRUE,1,144,0,96,240
RGB,9,16,2,ALL,16,32,TRUE,TRUE,TRUE,1,432,768,96,1296
RGB,9,16,2,ALL,16,32,FALSE,TRUE,TRUE,1,432,0,96,528
RGB,9,16,3,0,16,32,FALSE,TRUE,TRUE,1,144,0,96,240
RGB,9,16,4,0,16,32,FALSE,TRUE,TRUE,1,144,0,96,240
RGB,9,16,4,0,32,16,FALSE,TRUE,TRUE,1,144,0,48,192
RGB,9,16,4,1,16,16,FALSE,TRUE,TRUE,1,144,0,48,192
RGB,9,16,4,1,16,32,FALSE,TRUE,TRUE,1,144,0,96,240
RGB,9,16,4,1,32,32,FALSE,TRUE,TRUE,1,144,0,96,240
RGB,9,16,4,2,16,16,TRUE,TRUE,TRUE,1,144,768,48,960
RGB,9,16,4,2,32,32,FALSE,TRUE,TRUE,1,144,0,96,240
RGB,9,16,4,ALL,16,32,FALSE,TRUE,TRUE,1,432,0,96,528
RGB,5,8,2,0,32,32,FALSE,TRUE,TRUE,1,320,0,96,416
RGB,5,8,2,1,16,32,TRUE,FALSE,TRUE,1,320,768,0,1088
RGB,5,8,2,2,16,32,FALSE,TRUE,TRUE,1,320,0,96,416
RGB,5,8,2,ALL,16,32,TRUE,TRUE,TRUE,1,960,768,96,1824
RGB,5,8,2,ALL,32,32,TRUE,FALSE,TRUE,1,960,3072,0,4032
RGB,5,8,3,1,16,32,TRUE,TRUE,TRUE,1,320,768,96,1184
RGB,5,16,2,0,16,16,TRUE,TRUE,TRUE,1,80,768,48,896
RGB,5,16,2,0,16,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,2,0,16,32,TRUE,TRUE,TRUE,1,80,768,96,944
RGB,5,16,2,0,16,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,2,0,32,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,2,0,32,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,2,1,16,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,2,1,16,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,2,1,32,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,2,2,16,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,2,2,32,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,2,ALL,16,32,FALSE,TRUE,TRUE,1,240,0,96,336
RGB,5,16,2,ALL,32,32,FALSE,TRUE,TRUE,1,240,0,96,336
RGB,5,16,3,0,16,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,3,0,32,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,3,0,32,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,3,1,16,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,3,1,16,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,3,1,32,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,3,1,32,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,3,2,16,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,3,ALL,32,16,TRUE,TRUE,TRUE,1,240,3072,48,3360
RGB,5,16,4,0,16,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,4,0,32,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,4,1,16,16,FALSE,TRUE,TRUE,1,80,0,48,128
RGB,5,16,4,1,16,32,TRUE,TRUE,TRUE,1,80,768,96,944
RGB,5,16,4,1,16,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,4,1,32,16,TRUE,TRUE,TRUE,1,80,3072,48,3200
RGB,5,16,4,2,16,32,FALSE,TRUE,TRUE,1,80,0,96,176
RGB,5,16,4,ALL,16,32,FALSE,TRUE,TRUE,1,240,0,96,336
RGB,5,16,4,ALL,32,32,TRUE,TRUE,TRUE,1,240,3072,96,3408
RGB,9,8,2,1,16,32,TRUE,TRUE,TRUE,0.9975,576,768,96,1440
RGB,9,8,2,2,16,16,FALSE,TRUE,TRUE,0.9975,576,0,48,624
RGB,9,8,2,2,32,32,TRUE,FALSE,TRUE,0.9975,576,3072,0,3648
RGB,9,8,2,ALL,32,16,FALSE,TRUE,TRUE,0.9975,1728,0,48,1776
RGB,9,8,3,0,32,32,FALSE,TRUE,TRUE,0.9975,576,0,96,672
RGB,9,8,3,2,16,32,TRUE,TRUE,TRUE,0.9975,576,768,96,1440
RGB,9,8,3,2,16,32,FALSE,TRUE,TRUE,0.9975,576,0,96,672
RGB,9,8,4,1,32,32,TRUE,TRUE,TRUE,0.9975,576,3072,96,3744
RGB,9,16,2,0,16,16,FALSE,TRUE,TRUE,0.9975,144,0,48,192
RGB,9,16,2,0,32,16,FALSE,TRUE,TRUE,0.9975,144,0,48,192
